datetime,open,close,high,low,value,volume,begin,end
2025-04-17 16:00:00,2876.93,2874.82,2881.09,2868.88,6065635040.159996,0,2025-04-17 16:00:00,2025-04-17 16:59:59
2025-04-17 17:00:00,2874.81,2850.3,2876.83,2845.51,13228166936.82,0,2025-04-17 17:00:00,2025-04-17 17:59:59
2025-04-17 18:00:00,2849.98,2865.32,2866.83,2844.33,7177490695.82,0,2025-04-17 18:00:00,2025-04-17 18:54:02
2025-04-18 09:00:00,2881.79,2878.39,2883.46,2877.31,809657872.64,0,2025-04-18 09:00:00,2025-04-18 09:59:59
2025-04-18 10:00:00,2878.48,2879.22,2892.01,2872.71,7068510215.15,0,2025-04-18 10:00:00,2025-04-18 10:59:59
2025-04-18 11:00:00,2879.28,2864.36,2880.99,2860.52,7487593446.919999,0,2025-04-18 11:00:00,2025-04-18 11:59:59
2025-04-18 12:00:00,2864.36,2841.45,2871.35,2841.45,9302161635.29,0,2025-04-18 12:00:00,2025-04-18 12:59:59
2025-04-18 13:00:00,2841.42,2835.89,2847.53,2825.41,11157908545.589996,0,2025-04-18 13:00:00,2025-04-18 13:59:59
2025-04-18 14:00:00,2835.77,2845.71,2853.94,2825.45,8535231915.460007,0,2025-04-18 14:00:00,2025-04-18 14:59:59
2025-04-18 15:00:00,2845.71,2835.48,2851.23,2834.67,4386219474.25,0,2025-04-18 15:00:00,2025-04-18 15:59:59
2025-04-18 16:00:00,2835.49,2863.2,2873.97,2835.08,15127311270.469994,0,2025-04-18 16:00:00,2025-04-18 16:59:59
2025-04-18 17:00:00,2863.24,2866.21,2873.27,2859.19,4866538398.140007,0,2025-04-18 17:00:00,2025-04-18 17:59:59
2025-04-18 18:00:00,2866.21,2872.77,2875.61,2865.99,3616123668.2099915,0,2025-04-18 18:00:00,2025-04-18 18:54:02
2025-04-21 09:00:00,2881.23,2882.15,2883.89,2880.07,611821871.34,0,2025-04-21 09:00:00,2025-04-21 09:59:59
2025-04-21 10:00:00,2882.22,2887.18,2892.78,2880.01,9644599232.95,0,2025-04-21 10:00:00,2025-04-21 10:59:59
2025-04-21 11:00:00,2887.19,2901.16,2901.21,2887.19,8542891713.34,0,2025-04-21 11:00:00,2025-04-21 11:59:59
2025-04-21 12:00:00,2901.22,2902.46,2909.17,2899.58,9366561385.879997,0,2025-04-21 12:00:00,2025-04-21 12:59:59
